"filename", "language", "Go", "XML", "Markdown", "SQL", "Makefile", "comment", "blank", "total"
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/link/repository_test.go", "Go", 96, 0, 0, 0, 0, 1, 16, 113
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/link/service.go", "Go", 155, 0, 0, 0, 0, 2, 23, 180
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/link/service_test.go", "Go", 53, 0, 0, 0, 0, 0, 10, 63
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/background.go", "Go", 14, 0, 0, 0, 0, 4, 5, 23
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/button.go", "Go", 14, 0, 0, 0, 0, 4, 5, 23
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/errors/errors.go", "Go", 56, 0, 0, 0, 0, 26, 4, 86
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/font.go", "Go", 14, 0, 0, 0, 0, 4, 5, 23
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/like.go", "Go", 4, 0, 0, 0, 0, 2, 4, 10
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/link.go", "Go", 32, 0, 0, 0, 0, 8, 10, 50
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/profile.go", "Go", 40, 0, 0, 0, 0, 10, 12, 62
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/style.go", "Go", 18, 0, 0, 0, 0, 6, 4, 28
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/models/web.go", "Go", 6, 0, 0, 0, 0, 1, 2, 9
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/profile/repository.go", "Go", 106, 0, 0, 0, 0, 3, 18, 127
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/profile/repository_test.go", "Go", 55, 0, 0, 0, 0, 0, 10, 65
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/profile/service.go", "Go", 196, 0, 0, 0, 0, 2, 41, 239
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/profile/service_test.go", "Go", 47, 0, 0, 0, 0, 0, 9, 56
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/style/repository.go", "Go", 92, 0, 0, 0, 0, 3, 16, 111
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/style/repository_test.go", "Go", 60, 0, 0, 0, 0, 0, 11, 71
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/style/service.go", "Go", 88, 0, 0, 0, 0, 2, 20, 110
"/home/bagus2x/Documents/workspace/go/src/github.com/bagus2x/fainmi/pkg/style/service_test.go", "Go", 48, 0, 0, 0, 0, 0, 9, 57
"Total", "-", 3435, 11, 0, 82, 16, 134, 714, 4392
